DaysSince5/19/06,SPY Raw,SPY ADJ,VIX,3Mo Interest Rate,SSVI eta,SSVI rho,VXST (estimate before 2/3/14)
223,142.21,107.11,10.99,0.050000,3.6405,-0.668,9.42
224,141.62,106.67,11.56,0.050200,3.6093,-0.6699,10.12
229,141.37,106.48,12.04,0.050500,3.4533,-0.6805,10.71
230,141.67,106.70,11.51,0.050400,3.4221,-0.6834,10.06
231,140.54,105.85,12.14,0.050500,3.3909,-0.6864,10.83
234,141.19,106.34,12.00,0.050800,3.2974,-0.682,10.66
235,141.07,106.25,11.91,0.050800,3.3224,-0.6783,10.55
236,141.54,106.61,11.47,0.050900,3.3474,-0.6747,10.01
237,142.16,107.07,10.87,0.051100,3.3724,-0.671,9.27
238,143.24,107.89,10.15,0.050900,3.3974,-0.6675,8.38
242,142.96,107.68,10.74,0.051100,3.4095,-0.6533,9.11
243,143.02,107.72,10.59,0.051200,3.3905,-0.6498,8.93
244,142.54,107.36,10.85,0.051200,3.3714,-0.6463,9.25
245,142.82,107.57,10.40,0.051400,3.3921,-0.6498,8.69
248,142.38,107.24,10.77,0.051300,3.4539,-0.6603,9.15
249,142.80,107.56,10.34,0.051400,3.4746,-0.6638,8.62
250,143.95,108.42,9.89,0.051300,3.4952,-0.6673,8.06
251,142.26,107.15,11.22,0.051400,3.5158,-0.6708,9.70
252,142.13,107.05,11.13,0.051300,3.5364,-0.6844,9.59
255,142.05,106.99,11.45,0.051400,3.5007,-0.6744,9.98
256,142.79,107.55,10.96,0.051300,3.4726,-0.671,9.38
257,143.75,108.27,10.42,0.051200,3.4444,-0.6677,8.72
258,144.61,108.92,10.31,0.051300,3.4162,-0.6643,8.58
259,144.81,109.07,10.08,0.051400,3.3881,-0.661,8.30
262,144.85,109.10,10.55,0.051500,3.3036,-0.657,8.88
263,144.89,109.13,10.65,0.051400,3.2754,-0.6598,9.00
264,145.21,109.37,10.32,0.051500,3.2472,-0.6625,8.59
265,145.02,109.23,10.44,0.051600,3.2542,-0.6653,8.74
266,143.94,108.41,11.10,0.051500,3.2611,-0.668,9.55
269,143.45,108.04,11.61,0.051800,3.2818,-0.6692,10.18
270,144.66,108.96,10.34,0.051700,3.2888,-0.6684,8.62
271,145.61,109.67,10.23,0.051600,3.2957,-0.6676,8.48
272,145.80,109.81,10.22,0.051700,3.3026,-0.6668,8.47
273,145.73,109.76,10.02,0.051700,3.3095,-0.6661,8.22
277,146.04,110.00,10.24,0.051900,3.3785,-0.6665,8.50
278,145.98,109.95,10.20,0.051800,3.406,-0.6692,8.45
279,145.87,109.87,10.18,0.051900,3.4349,-0.672,8.42
280,145.30,109.44,10.58,0.051800,3.4637,-0.6748,8.91
283,145.17,109.34,11.15,0.051900,3.0843,-0.7072,9.61
284,139.50,105.07,18.31,0.051400,2.9579,-0.7118,18.42
285,140.93,106.15,15.42,0.051600,2.9713,-0.7164,14.87
286,140.51,105.83,15.82,0.051500,2.9847,-0.721,15.36
287,138.67,104.44,18.61,0.051200,2.998,-0.7622,18.79
290,137.35,103.45,19.63,0.051000,3.095,-0.7521,20.04
291,139.70,105.22,15.96,0.051400,3.1421,-0.7487,15.53
292,139.56,105.11,15.24,0.051200,3.1892,-0.7453,14.65
293,140.74,106.00,14.29,0.051000,3.2003,-0.7419,13.48
294,140.78,106.03,14.09,0.051000,3.2114,-0.7386,13.23
297,140.99,106.19,13.99,0.050900,3.2447,-0.7171,13.11
298,138.25,104.13,18.13,0.050900,3.2558,-0.7818,18.20
299,139.28,104.90,17.27,0.050600,3.2669,-0.7655,17.14
300,139.47,105.05,16.43,0.050500,3.278,-0.7492,16.11
301,138.53,104.75,16.79,0.050400,3.3005,-0.7416,16.55
304,140.20,106.02,14.59,0.050600,3.3681,-0.7186,13.85
305,140.97,106.60,13.27,0.050600,3.3829,-0.711,12.22
306,143.29,108.35,12.19,0.050500,3.3976,-0.7033,10.89
307,143.18,108.27,12.93,0.050600,3.4123,-0.6957,11.80
308,143.39,108.43,12.95,0.050800,3.427,-0.6982,11.83
311,143.20,108.28,13.16,0.050600,3.4712,-0.7058,12.09
312,142.86,108.03,13.48,0.050800,3.4859,-0.7083,12.48
313,141.82,107.24,14.98,0.050600,3.5007,-0.7108,14.33
314,141.97,107.35,15.14,0.050500,3.5279,-0.7133,14.52
315,142.00,107.38,14.64,0.050400,3.5552,-0.7158,13.91
318,142.16,107.50,14.53,0.050400,3.6371,-0.7239,13.77
319,143.69,108.65,13.46,0.050500,3.6644,-0.7219,12.46
320,143.85,108.78,13.24,0.050700,3.6562,-0.72,12.19
321,144.24,109.07,13.23,0.050400,3.648,-0.7181,12.17
325,144.44,109.22,13.14,0.050200,3.6152,-0.7105,12.06
326,144.61,109.35,12.68,0.050300,3.607,-0.7069,11.50
327,144.02,108.90,13.49,0.050400,3.5988,-0.7034,12.49
328,144.66,109.39,12.71,0.050300,3.5906,-0.6998,11.53
329,145.32,109.89,12.20,0.050200,3.6164,-0.6962,10.91
332,146.70,110.93,11.98,0.050100,3.6939,-0.685,10.64
333,147.09,111.23,12.14,0.050100,3.7197,-0.6809,10.83
334,147.27,111.36,12.42,0.050000,3.7455,-0.6781,11.18
335,147.23,111.33,12.54,0.049900,3.7713,-0.6752,11.32
336,148.62,112.38,12.07,0.049900,3.7971,-0.6724,10.75
339,148.06,111.96,13.04,0.049800,3.8746,-0.6638,11.94
340,148.12,112.00,13.12,0.049800,3.9004,-0.6609,12.04
